
MGV-GENOME-0237056_29, VPC-287, NULL
MGV-GENOME-0201070_4, VPC-358, Siphoviridae
MGV-GENOME-0361283_42, VPC-152, NULL
MGV-GENOME-0324455_65, VPC-69, Siphoviridae
MGV-GENOME-0211964_28, VPC-9, Siphoviridae
MGV-GENOME-0215843_27, VPC-7295, Siphoviridae
MGV-GENOME-0137032_16, VPC-8, Siphoviridae
MGV-GENOME-0268110_14, VPC-11939, NULL
MGV-GENOME-0163266_26, VPC-8016, Myoviridae
MGV-GENOME-0207038_37, VPC-502, Myoviridae
MGV-GENOME-0297721_24, VPC-562, NULL
MGV-GENOME-0350037_32, VPC-9, NULL
MGV-GENOME-0353457_79, VPC-4562, NULL
MGV-GENOME-0122668_14, VPC-8, Siphoviridae
MGV-GENOME-0333178_8, VPC-69, Siphoviridae
MGV-GENOME-0301911_32, VPC-1219, Siphoviridae
MGV-GENOME-0280175_4, VPC-7371, Siphoviridae
MGV-GENOME-0333411_34, VPC-287, NULL
MGV-GENOME-0283735_23, VPC-1964, NULL
MGV-GENOME-0290002_23, VPC-3984, NULL
MGV-GENOME-0300937_15, VPC-1387, Siphoviridae
MGV-GENOME-0333476_81, VPC-69, Siphoviridae
MGV-GENOME-0341050_65, VPC-3444, NULL
MGV-GENOME-0231264_36, VPC-885, Myoviridae
MGV-GENOME-0189742_17, VPC-9, Siphoviridae
MGV-GENOME-0348996_45, VPC-744, NULL
MGV-GENOME-4412261_17, VPC-307, Siphoviridae
MGV-GENOME-0276771_11, VPC-8327, Siphoviridae
MGV-GENOME-0169458_20, VPC-713, Siphoviridae
MGV-GENOME-0207780_20, VPC-8, Siphoviridae
MGV-GENOME-0325956_28, VPC-152, NULL
MGV-GENOME-0353177_31, VPC-9, NULL
MGV-GENOME-0308744_24, VPC-9, Siphoviridae
MGV-GENOME-0349088_54, VPC-9, NULL
MGV-GENOME-0357039_51, VPC-3444, NULL
MGV-GENOME-0248883_41, VPC-502, Myoviridae
MGV-GENOME-0290152_32, VPC-27, NULL
MGV-GENOME-0322295_32, VPC-656, NULL
MGV-GENOME-0324470_30, VPC-713, Siphoviridae
MGV-GENOME-0281179_28, VPC-11010, Siphoviridae
MGV-GENOME-0205638_14, VPC-562, NULL
MGV-GENOME-0292435_52, VPC-268, NULL
MGV-GENOME-0250163_29, VPC-33589, NULL
MGV-GENOME-0174294_27, VPC-34538, Siphoviridae
MGV-GENOME-0237920_29, VPC-656, NULL
MGV-GENOME-0235567_12, VPC-7708, NULL
MGV-GENOME-0220036_26, VPC-744, Siphoviridae
MGV-GENOME-0292497_33, VPC-9, NULL
MGV-GENOME-0270685_47, VPC-152, Siphoviridae
MGV-GENOME-0298786_27, VPC-9, NULL
MGV-GENOME-0245992_4, VPC-27851, Siphoviridae
MGV-GENOME-0353539_33, VPC-152, NULL
MGV-GENOME-0296950_92, VPC-9, NULL
MGV-GENOME-0267449_21, VPC-69, Siphoviridae
MGV-GENOME-0278233_26, VPC-307, Siphoviridae
MGV-GENOME-0293230_39, VPC-562, Myoviridae
MGV-GENOME-0235649_7, VPC-713, Siphoviridae
MGV-GENOME-0272512_36, VPC-27, Myoviridae
MGV-GENOME-0217055_32, VPC-301185, NULL
MGV-GENOME-0167364_3, VPC-9, NULL
MGV-GENOME-0242954_34, VPC-8406, Siphoviridae
MGV-GENOME-0166318_33, VPC-3984, Siphoviridae
MGV-GENOME-0370339_10, VPC-3444, NULL
MGV-GENOME-0318319_42, VPC-656, Myoviridae
MGV-GENOME-0328176_6, VPC-69, Siphoviridae
MGV-GENOME-0321444_22, VPC-1988, Siphoviridae
MGV-GENOME-0193781_25, VPC-8, NULL
MGV-GENOME-0164107_10, VPC-358, Siphoviridae
MGV-GENOME-0317629_52, VPC-9, Siphoviridae
MGV-GENOME-0199510_19, VPC-8, Siphoviridae
MGV-GENOME-0112866_11, VPC-2755, Siphoviridae
MGV-GENOME-0319193_34, VPC-656, NULL
MGV-GENOME-0172091_28, VPC-2734, Siphoviridae
MGV-GENOME-0280981_24, VPC-69, Siphoviridae
MGV-GENOME-0326711_52, VPC-1964, Myoviridae
MGV-GENOME-0143119_2, VPC-8, Siphoviridae
MGV-GENOME-0273718_45, VPC-358, Siphoviridae
MGV-GENOME-0193635_17, VPC-8, NULL
MGV-GENOME-0212021_36, VPC-8, Siphoviridae
MGV-GENOME-0310902_45, VPC-74442, Myoviridae
MGV-GENOME-0359021_104, VPC-9, Siphoviridae
MGV-GENOME-0265642_26, VPC-1219, Siphoviridae
MGV-GENOME-0136800_24, VPC-40863, NULL
MGV-GENOME-0172834_25, VPC-1988, Siphoviridae
MGV-GENOME-0309783_39, VPC-152, NULL
MGV-GENOME-0251351_34, VPC-12417, NULL
MGV-GENOME-0247542_63, VPC-8, Siphoviridae
MGV-GENOME-0223424_28, VPC-787, Siphoviridae
MGV-GENOME-0322051_74, VPC-152, NULL
MGV-GENOME-0173878_7, VPC-3984, Siphoviridae
MGV-GENOME-0236752_30, VPC-7708, Siphoviridae
MGV-GENOME-0236577_29, VPC-9, NULL
MGV-GENOME-0303014_37, VPC-8, Siphoviridae
MGV-GENOME-0243893_37, VPC-502, NULL
MGV-GENOME-0245655_8, VPC-283, Siphoviridae
MGV-GENOME-0257920_25, VPC-3454, NULL
MGV-GENOME-0277536_19, VPC-358, NULL
MGV-GENOME-0266354_20, VPC-268, NULL
MGV-GENOME-0299124_40, VPC-9, NULL
MGV-GENOME-0332481_32, VPC-8, Siphoviridae
MGV-GENOME-0188443_36, VPC-1718, Myoviridae
MGV-GENOME-0171266_7, VPC-40585, NULL
MGV-GENOME-0340727_72, VPC-13764, Siphoviridae
MGV-GENOME-0169782_7, VPC-161413, Siphoviridae
MGV-GENOME-0269045_26, VPC-283, Siphoviridae
MGV-GENOME-0243275_12, VPC-8327, Siphoviridae
MGV-GENOME-0171187_11, VPC-1387, Siphoviridae
MGV-GENOME-0274565_24, VPC-23094, NULL
MGV-GENOME-0372729_41, VPC-744, Siphoviridae
MGV-GENOME-0234518_24, VPC-287, NULL
MGV-GENOME-0298606_30, VPC-502, NULL
MGV-GENOME-0152674_27, VPC-283, Siphoviridae
MGV-GENOME-0248096_28, VPC-287, NULL
MGV-GENOME-0126946_2, VPC-2734, Siphoviridae
MGV-GENOME-0262977_14, VPC-744, NULL
MGV-GENOME-0296123_9, VPC-4562, crAss-phage
MGV-GENOME-0343008_54, VPC-744, NULL
MGV-GENOME-0178738_26, VPC-8, NULL
MGV-GENOME-0186701_14, VPC-307, NULL
MGV-GENOME-0182477_12, VPC-224223, Siphoviridae
MGV-GENOME-0256702_29, VPC-8, Siphoviridae
MGV-GENOME-0207080_21, VPC-9, Siphoviridae
MGV-GENOME-0141487_13, VPC-8, Siphoviridae
MGV-GENOME-4396997_31, VPC-9, Siphoviridae
MGV-GENOME-0307916_33, VPC-27, Myoviridae
MGV-GENOME-0221500_18, VPC-56153, Siphoviridae
MGV-GENOME-0211746_28, VPC-502, NULL
MGV-GENOME-0311064_45, VPC-502, Myoviridae
MGV-GENOME-0271529_23, VPC-287, NULL
MGV-GENOME-0329217_33, VPC-268, Siphoviridae
MGV-GENOME-0239443_21, VPC-307, Siphoviridae
MGV-GENOME-0212936_36, VPC-14883, Siphoviridae
MGV-GENOME-0245233_10, VPC-713, Siphoviridae
MGV-GENOME-0158783_22, VPC-13557, Siphoviridae
MGV-GENOME-0313712_39, VPC-656, Myoviridae
MGV-GENOME-0332363_19, VPC-9, NULL
MGV-GENOME-0323879_24, VPC-9, Siphoviridae
MGV-GENOME-0298386_5, VPC-9, Siphoviridae
MGV-GENOME-0309208_38, VPC-27, Myoviridae
MGV-GENOME-0151985_12, VPC-8, Siphoviridae
MGV-GENOME-0160777_19, VPC-53357, Siphoviridae
MGV-GENOME-0280295_10, VPC-69, Siphoviridae
MGV-GENOME-0212384_16, VPC-8, Siphoviridae
MGV-GENOME-0319728_25, VPC-484, NULL
MGV-GENOME-0354681_58, VPC-152, NULL
MGV-GENOME-0313131_37, VPC-27, Myoviridae
MGV-GENOME-0218754_28, VPC-656, NULL
MGV-GENOME-0241789_23, VPC-2734, Siphoviridae
MGV-GENOME-0133691_13, VPC-8, NULL
MGV-GENOME-0174486_12, VPC-6045, Siphoviridae
MGV-GENOME-0094009_4, VPC-2755, Siphoviridae
MGV-GENOME-4354080_14, VPC-713, Siphoviridae
MGV-GENOME-0281745_28, VPC-562, NULL
MGV-GENOME-0280831_34, VPC-69, Siphoviridae
MGV-GENOME-0260714_34, VPC-27, Myoviridae
MGV-GENOME-0157392_17, VPC-283, Siphoviridae
MGV-GENOME-0352779_49, VPC-484, NULL
MGV-GENOME-0208139_16, VPC-9, Siphoviridae
MGV-GENOME-0288275_4, VPC-484, NULL
MGV-GENOME-0308131_50, VPC-27, Myoviridae
MGV-GENOME-0146228_10, VPC-2755, Siphoviridae
MGV-GENOME-0268510_3, VPC-787, Siphoviridae
MGV-GENOME-0197664_20, VPC-3984, Siphoviridae
MGV-GENOME-0311661_31, VPC-713, Siphoviridae
MGV-GENOME-0202532_23, VPC-562, NULL
MGV-GENOME-0311373_24, VPC-27, NULL
MGV-GENOME-0289899_39, VPC-562, Myoviridae
MGV-GENOME-0227943_40, VPC-69, Siphoviridae
MGV-GENOME-0260013_32, VPC-358, Siphoviridae
MGV-GENOME-0300933_8, VPC-7708, NULL
MGV-GENOME-0261625_52, VPC-8, NULL
MGV-GENOME-0306730_32, VPC-27, Myoviridae
MGV-GENOME-0311697_20, VPC-8, NULL
MGV-GENOME-0178623_19, VPC-27, NULL
MGV-GENOME-0282239_19, VPC-27, Myoviridae
MGV-GENOME-4402890_39, VPC-9, Siphoviridae
MGV-GENOME-0272443_26, VPC-128386, Myoviridae
MGV-GENOME-0318042_13, VPC-484, NULL
MGV-GENOME-0371063_81, VPC-484, NULL
MGV-GENOME-0115496_7, VPC-8, Siphoviridae
MGV-GENOME-0224079_6, VPC-27, Myoviridae
MGV-GENOME-0300971_33, VPC-27, NULL
MGV-GENOME-0182462_12, VPC-11010, Siphoviridae
MGV-GENOME-0309480_46, VPC-885, Myoviridae
MGV-GENOME-0221660_23, VPC-1964, NULL
MGV-GENOME-0303852_6, VPC-152, NULL
MGV-GENOME-0238898_29, VPC-787, NULL
MGV-GENOME-0166739_31, VPC-8, Siphoviridae
MGV-GENOME-0330667_24, VPC-9, Siphoviridae
MGV-GENOME-0239668_43, VPC-69, Siphoviridae
MGV-GENOME-0247694_33, VPC-283, Siphoviridae
MGV-GENOME-0238023_14, VPC-69, Siphoviridae
MGV-GENOME-0286416_26, VPC-358, NULL
MGV-GENOME-0202453_9, VPC-1219, NULL
MGV-GENOME-0193708_3, VPC-787, Siphoviridae
MGV-GENOME-0342994_89, VPC-484, NULL
MGV-GENOME-0316733_32, VPC-268, Siphoviridae
MGV-GENOME-0133022_13, VPC-32844, Siphoviridae
MGV-GENOME-0222136_13, VPC-287, NULL
MGV-GENOME-0263911_24, VPC-268, NULL
MGV-GENOME-0263239_13, VPC-4591, NULL
MGV-GENOME-0173651_23, VPC-8, Siphoviridae
MGV-GENOME-0302312_29, VPC-27, NULL
MGV-GENOME-0303310_29, VPC-27, Myoviridae
MGV-GENOME-0196390_6, VPC-1387, Siphoviridae
MGV-GENOME-0351912_29, VPC-268, NULL
MGV-GENOME-0259482_17, VPC-6045, Siphoviridae
MGV-GENOME-0176026_26, VPC-283, Siphoviridae
MGV-GENOME-0200519_24, VPC-307, Siphoviridae
MGV-GENOME-0347064_88, VPC-9, NULL
MGV-GENOME-0168955_12, VPC-13033, Siphoviridae
MGV-GENOME-0161199_10, VPC-8016, Myoviridae
MGV-GENOME-0260781_28, VPC-787, Siphoviridae
MGV-GENOME-0286627_45, VPC-4591, NULL
MGV-GENOME-0176539_23, VPC-9, Siphoviridae
MGV-GENOME-0224417_38, VPC-8, NULL
MGV-GENOME-0206999_8, VPC-283, Siphoviridae
MGV-GENOME-0238809_23, VPC-1718, Myoviridae
MGV-GENOME-0121032_10, VPC-14655, Siphoviridae
MGV-GENOME-0164386_12, VPC-8327, Siphoviridae
MGV-GENOME-0187661_29, VPC-20054, Siphoviridae
MGV-GENOME-0231261_37, VPC-11939, Podoviridae
MGV-GENOME-0144618_8, VPC-1219, NULL
MGV-GENOME-0335909_21, VPC-307, Siphoviridae
MGV-GENOME-0145979_20, VPC-54514, Siphoviridae
MGV-GENOME-0269662_46, VPC-713, Siphoviridae
MGV-GENOME-0330578_42, VPC-744, NULL
MGV-GENOME-0227232_22, VPC-69, Siphoviridae
MGV-GENOME-0220215_15, VPC-8, Siphoviridae
MGV-GENOME-0243103_36, VPC-27, Myoviridae
MGV-GENOME-0368445_42, VPC-152, NULL
MGV-GENOME-0231338_20, VPC-3454, Myoviridae
MGV-GENOME-0205909_11, VPC-744, Siphoviridae
MGV-GENOME-0177517_11, VPC-5885, Siphoviridae
MGV-GENOME-0181273_4, VPC-307, Siphoviridae
MGV-GENOME-0171599_18, VPC-307, Siphoviridae
MGV-GENOME-0196420_25, VPC-358, NULL
MGV-GENOME-0319062_60, VPC-69, Siphoviridae
MGV-GENOME-0330616_84, VPC-3444, NULL
MGV-GENOME-0338715_33, VPC-268, NULL
MGV-GENOME-0280820_53, VPC-7371, Siphoviridae
MGV-GENOME-0247409_33, VPC-8, NULL
MGV-GENOME-0298669_18, VPC-27, Myoviridae
MGV-GENOME-0348825_39, VPC-287, NULL
MGV-GENOME-0329521_13, VPC-1387, NULL
MGV-GENOME-0323121_39, VPC-152, NULL
MGV-GENOME-0222853_14, VPC-268, NULL
MGV-GENOME-0259518_33, VPC-27, NULL
MGV-GENOME-0250459_60, VPC-1916, NULL
MGV-GENOME-0228705_21, VPC-2734, Siphoviridae
MGV-GENOME-0242550_25, VPC-358, Siphoviridae
MGV-GENOME-0261267_24, VPC-1988, Siphoviridae
MGV-GENOME-0342487_29, VPC-268, NULL
MGV-GENOME-0311488_45, VPC-152, NULL
MGV-GENOME-0326048_43, VPC-152, NULL
MGV-GENOME-0205636_15, VPC-307, Siphoviridae
MGV-GENOME-0181584_24, VPC-9, Siphoviridae
MGV-GENOME-0367618_28, VPC-3444, NULL
MGV-GENOME-0271588_13, VPC-1219, Siphoviridae
MGV-GENOME-0217193_36, VPC-6766, Siphoviridae
MGV-GENOME-0238412_26, VPC-33319, Siphoviridae
MGV-GENOME-0339647_2, VPC-4562, Myoviridae
MGV-GENOME-0164962_20, VPC-358, Siphoviridae
MGV-GENOME-0137433_7, VPC-1988, Siphoviridae
MGV-GENOME-0320656_32, VPC-744, NULL
MGV-GENOME-0293275_25, VPC-656, Myoviridae
MGV-GENOME-4398206_34, VPC-34538, Siphoviridae
MGV-GENOME-0200615_27, VPC-8, NULL
MGV-GENOME-0116166_18, VPC-32844, NULL
MGV-GENOME-0176636_30, VPC-20126, Siphoviridae
MGV-GENOME-0305700_38, VPC-502, Siphoviridae
MGV-GENOME-0256421_14, VPC-358, Siphoviridae
MGV-GENOME-0170489_11, VPC-8, NULL
MGV-GENOME-0292200_57, VPC-30789, Siphoviridae
MGV-GENOME-0268443_19, VPC-24731, NULL
MGV-GENOME-0272356_37, VPC-502, Myoviridae
MGV-GENOME-0249434_25, VPC-744, Siphoviridae
MGV-GENOME-0223937_3, VPC-23207, Siphoviridae
MGV-GENOME-0344078_27, VPC-484, NULL
MGV-GENOME-0145516_25, VPC-283, Siphoviridae
MGV-GENOME-0196158_1, VPC-45573, Myoviridae
MGV-GENOME-0291629_25, VPC-8, NULL
MGV-GENOME-0160062_22, VPC-307, Siphoviridae
MGV-GENOME-0305289_18, VPC-8, Siphoviridae
MGV-GENOME-0301808_9, VPC-69, Siphoviridae
MGV-GENOME-0329346_43, VPC-152, NULL
MGV-GENOME-0281259_30, VPC-656, NULL
MGV-GENOME-0162650_28, VPC-502, Myoviridae
MGV-GENOME-0280998_16, VPC-307, Siphoviridae
MGV-GENOME-0313693_25, VPC-268, NULL
MGV-GENOME-0177146_22, VPC-123967, NULL
MGV-GENOME-0284654_41, VPC-152, NULL
MGV-GENOME-0276725_20, VPC-1988, Siphoviridae
MGV-GENOME-0234358_25, VPC-8, NULL
MGV-GENOME-0188748_25, VPC-562, NULL
MGV-GENOME-0299332_32, VPC-502, NULL
MGV-GENOME-0311374_19, VPC-1219, Siphoviridae
MGV-GENOME-0157185_27, VPC-7295, Siphoviridae
MGV-GENOME-0296135_42, VPC-9, NULL
MGV-GENOME-0338753_44, VPC-24731, NULL
MGV-GENOME-0206263_17, VPC-8, NULL
MGV-GENOME-0283619_44, VPC-484, NULL
MGV-GENOME-0324937_44, VPC-744, NULL
MGV-GENOME-0334376_27, VPC-152, NULL
MGV-GENOME-0229886_23, VPC-3984, NULL
MGV-GENOME-0320260_27, VPC-287, NULL
MGV-GENOME-0184309_18, VPC-2734, Siphoviridae
MGV-GENOME-0313666_7, VPC-27, Myoviridae
MGV-GENOME-0173155_18, VPC-9, Siphoviridae
MGV-GENOME-0331450_78, VPC-13764, NULL
MGV-GENOME-0147655_16, VPC-1988, NULL
MGV-GENOME-0171418_22, VPC-885, NULL
MGV-GENOME-0226248_13, VPC-1387, NULL
MGV-GENOME-0361945_45, VPC-268, Siphoviridae
MGV-GENOME-0142228_11, VPC-1988, Siphoviridae
MGV-GENOME-0203696_29, VPC-1988, Siphoviridae
MGV-GENOME-0258598_27, VPC-287, NULL
MGV-GENOME-0169661_14, VPC-5885, NULL
MGV-GENOME-0233074_2, VPC-1964, Myoviridae
MGV-GENOME-0346313_72, VPC-268, Siphoviridae
MGV-GENOME-0370338_71, VPC-3444, NULL
MGV-GENOME-0302185_31, VPC-268, NULL
MGV-GENOME-0365309_81, VPC-11167, NULL
MGV-GENOME-0177679_23, VPC-8, NULL
MGV-GENOME-0151504_5, VPC-713, Siphoviridae
MGV-GENOME-0290964_34, VPC-9, NULL
MGV-GENOME-0228342_5, VPC-885, Myoviridae
MGV-GENOME-0323280_79, VPC-9, Siphoviridae
MGV-GENOME-0238603_9, VPC-656, NULL
MGV-GENOME-0333216_59, VPC-1964, Myoviridae
MGV-GENOME-0171867_25, VPC-502, NULL
MGV-GENOME-0198140_6, VPC-268, Siphoviridae
MGV-GENOME-0313130_10, VPC-656, NULL
MGV-GENOME-0150146_24, VPC-8, NULL
MGV-GENOME-0278963_73, VPC-9, Siphoviridae
MGV-GENOME-0139047_11, VPC-8, NULL
MGV-GENOME-0276782_55, VPC-5147, Siphoviridae
MGV-GENOME-0161374_21, VPC-307, Siphoviridae
MGV-GENOME-0328181_19, VPC-9, NULL
MGV-GENOME-0113697_11, VPC-8, Siphoviridae
MGV-GENOME-0316973_42, VPC-656, Myoviridae
MGV-GENOME-0153457_21, VPC-8, Siphoviridae
MGV-GENOME-0150843_20, VPC-283, Siphoviridae
MGV-GENOME-0219398_38, VPC-787, Siphoviridae
MGV-GENOME-0282520_55, VPC-283, Siphoviridae
MGV-GENOME-0205952_23, VPC-787, Siphoviridae
MGV-GENOME-0203652_26, VPC-307, NULL
MGV-GENOME-0251612_4, VPC-358, Siphoviridae
MGV-GENOME-0220684_18, VPC-2734, Siphoviridae
MGV-GENOME-0224418_42, VPC-268, NULL
MGV-GENOME-0240455_11, VPC-69, Siphoviridae
MGV-GENOME-0150241_8, VPC-8, Siphoviridae
MGV-GENOME-0272439_27, VPC-3454, NULL
MGV-GENOME-0280297_34, VPC-744, NULL
MGV-GENOME-0258697_29, VPC-787, Siphoviridae
MGV-GENOME-0313401_43, VPC-1964, Myoviridae
MGV-GENOME-0301972_31, VPC-9, NULL
MGV-GENOME-0328569_57, VPC-484, NULL
MGV-GENOME-0327339_31, VPC-152, NULL
MGV-GENOME-0223524_29, VPC-8, NULL
MGV-GENOME-0257702_23, VPC-307, Siphoviridae
MGV-GENOME-0224238_31, VPC-8, NULL
MGV-GENOME-0179845_16, VPC-358, Siphoviridae
MGV-GENOME-0294520_34, VPC-27, Myoviridae
MGV-GENOME-0269898_42, VPC-69, Siphoviridae
MGV-GENOME-0314098_39, VPC-27, Myoviridae
MGV-GENOME-0330293_24, VPC-69, Siphoviridae
MGV-GENOME-0165740_11, VPC-287, NULL
MGV-GENOME-0209288_29, VPC-7295, Siphoviridae
MGV-GENOME-0131173_12, VPC-8, Siphoviridae
MGV-GENOME-0354012_77, VPC-3444, NULL
MGV-GENOME-0333447_31, VPC-9, NULL
MGV-GENOME-0310550_33, VPC-5147, NULL
MGV-GENOME-0227015_2, VPC-1916, Siphoviridae
MGV-GENOME-0259660_23, VPC-287, NULL
MGV-GENOME-0228203_42, VPC-8, NULL
MGV-GENOME-0248952_38, VPC-287, NULL
MGV-GENOME-0239068_39, VPC-27, Myoviridae
MGV-GENOME-0259209_32, VPC-21761, Siphoviridae
MGV-GENOME-0219989_35, VPC-8, Siphoviridae
MGV-GENOME-0334413_49, VPC-1589, NULL
MGV-GENOME-0217604_33, VPC-283, Siphoviridae
MGV-GENOME-0308392_33, VPC-268, NULL
MGV-GENOME-0158947_8, VPC-8, Siphoviridae
MGV-GENOME-0141951_32, VPC-307, Siphoviridae
MGV-GENOME-0157484_11, VPC-283, Siphoviridae
MGV-GENOME-0301173_36, VPC-656, Myoviridae
MGV-GENOME-0264168_21, VPC-3454, Myoviridae
MGV-GENOME-0186853_20, VPC-1387, Siphoviridae
MGV-GENOME-0199367_21, VPC-8016, Myoviridae
MGV-GENOME-0297722_8, VPC-9, Siphoviridae
MGV-GENOME-0371607_26, VPC-744, NULL
MGV-GENOME-0180475_8, VPC-8406, Siphoviridae
MGV-GENOME-0175900_4, VPC-14883, Siphoviridae
MGV-GENOME-0273721_19, VPC-358, Siphoviridae
MGV-GENOME-0296619_16, VPC-1964, NULL
MGV-GENOME-0306685_38, VPC-268, NULL
MGV-GENOME-0167028_16, VPC-1387, Siphoviridae
MGV-GENOME-0294523_53, VPC-885, Myoviridae
MGV-GENOME-0363653_73, VPC-3444, NULL
MGV-GENOME-0204332_26, VPC-8, Siphoviridae
MGV-GENOME-0225072_11, VPC-9, NULL
MGV-GENOME-0203717_27, VPC-8, NULL
MGV-GENOME-0209365_54, VPC-9, Siphoviridae
MGV-GENOME-0178736_11, VPC-8, Siphoviridae
MGV-GENOME-0341002_79, VPC-69, Siphoviridae
MGV-GENOME-0234596_28, VPC-27, NULL
MGV-GENOME-0287938_23, VPC-62520, Siphoviridae
MGV-GENOME-0248585_13, VPC-1219, Siphoviridae
MGV-GENOME-0250656_38, VPC-135521, NULL
MGV-GENOME-0215147_47, VPC-3984, NULL
MGV-GENOME-0286800_36, VPC-744, NULL
MGV-GENOME-0212357_26, VPC-1219, Siphoviridae
MGV-GENOME-0303152_35, VPC-713, Siphoviridae
MGV-GENOME-0252395_51, VPC-27, Myoviridae
MGV-GENOME-0240154_27, VPC-307, Siphoviridae
MGV-GENOME-0196277_13, VPC-1219, Siphoviridae
MGV-GENOME-0275868_53, VPC-358, NULL
MGV-GENOME-0327021_68, VPC-9, NULL
MGV-GENOME-0202795_19, VPC-4196, Siphoviridae
MGV-GENOME-0213202_7, VPC-1718, Myoviridae
MGV-GENOME-0348585_51, VPC-1589, NULL
MGV-GENOME-0287141_20, VPC-268, NULL
MGV-GENOME-0228442_13, VPC-27, Myoviridae
MGV-GENOME-0145588_13, VPC-502, Siphoviridae
MGV-GENOME-0248733_26, VPC-287, Siphoviridae
MGV-GENOME-0278325_25, VPC-268, Siphoviridae
MGV-GENOME-0156855_10, VPC-307, Siphoviridae
MGV-GENOME-0279930_20, VPC-30789, Siphoviridae
MGV-GENOME-0177651_23, VPC-307, Siphoviridae
MGV-GENOME-0331949_10, VPC-484, NULL
MGV-GENOME-0254719_41, VPC-307, Siphoviridae
MGV-GENOME-0295090_34, VPC-27, Myoviridae
MGV-GENOME-0274140_23, VPC-27, Myoviridae
MGV-GENOME-0248981_21, VPC-787, NULL
MGV-GENOME-0308133_40, VPC-27, Myoviridae
MGV-GENOME-0238102_29, VPC-656, NULL
MGV-GENOME-0234923_23, VPC-8, NULL
MGV-GENOME-0281385_27, VPC-287, NULL
MGV-GENOME-0324158_35, VPC-9, NULL
MGV-GENOME-0308007_25, VPC-885, Myoviridae
MGV-GENOME-0186812_6, VPC-1718, Myoviridae
MGV-GENOME-0224905_47, VPC-8, Siphoviridae
MGV-GENOME-0307049_20, VPC-5791, Myoviridae
MGV-GENOME-0359695_36, VPC-5791, Myoviridae
MGV-GENOME-0191922_20, VPC-562, NULL
MGV-GENOME-0361944_42, VPC-152, NULL
MGV-GENOME-0218639_16, VPC-7708, NULL
MGV-GENOME-0333946_53, VPC-484, NULL
MGV-GENOME-0193501_30, VPC-216134, Siphoviridae
MGV-GENOME-0181871_7, VPC-9, NULL
MGV-GENOME-0275515_57, VPC-23996, Siphoviridae
MGV-GENOME-0252159_25, VPC-9, NULL
MGV-GENOME-0356850_105, VPC-5791, NULL
MGV-GENOME-0146472_21, VPC-307, Siphoviridae
MGV-GENOME-0227991_16, VPC-9, Siphoviridae
MGV-GENOME-0265425_15, VPC-9, NULL
MGV-GENOME-0306259_47, VPC-9, Siphoviridae
MGV-GENOME-0173812_5, VPC-8543, Siphoviridae
MGV-GENOME-0367761_43, VPC-11167, NULL
MGV-GENOME-0338461_23, VPC-656, NULL
MGV-GENOME-0224940_23, VPC-2734, Siphoviridae
MGV-GENOME-0224221_19, VPC-307, Siphoviridae
MGV-GENOME-0138314_12, VPC-7295, Siphoviridae
MGV-GENOME-0261076_50, VPC-8, Siphoviridae
MGV-GENOME-0308814_24, VPC-287, NULL
MGV-GENOME-0332105_35, VPC-69, Siphoviridae
MGV-GENOME-0270796_33, VPC-885, Myoviridae
MGV-GENOME-0326120_44, VPC-27, Myoviridae
MGV-GENOME-0186765_3, VPC-307, NULL
MGV-GENOME-0306701_36, VPC-885, Myoviridae
MGV-GENOME-0138986_15, VPC-787, Siphoviridae
MGV-GENOME-0356900_3, VPC-152, NULL
MGV-GENOME-0288614_41, VPC-562, Myoviridae
MGV-GENOME-0170229_35, VPC-69652, Siphoviridae
MGV-GENOME-0288031_12, VPC-46996, Siphoviridae
MGV-GENOME-0243603_44, VPC-358, Siphoviridae
MGV-GENOME-0310806_19, VPC-5885, NULL
MGV-GENOME-0288382_20, VPC-1219, Siphoviridae
MGV-GENOME-0248389_28, VPC-484, Myoviridae
MGV-GENOME-0222356_19, VPC-8, NULL
MGV-GENOME-0198111_14, VPC-8, Siphoviridae
MGV-GENOME-0204170_23, VPC-1387, Siphoviridae
MGV-GENOME-0212172_29, VPC-27, NULL
MGV-GENOME-0342071_29, VPC-69, Siphoviridae
MGV-GENOME-4417979_28, VPC-5147, NULL
MGV-GENOME-4428399_43, VPC-152, NULL
MGV-GENOME-0257439_55, VPC-65491, NULL
MGV-GENOME-0125121_20, VPC-1916, Myoviridae
MGV-GENOME-0236652_9, VPC-13307, Siphoviridae
MGV-GENOME-0210744_37, VPC-27, NULL
MGV-GENOME-0204607_16, VPC-8, Siphoviridae
MGV-GENOME-0309176_34, VPC-885, Myoviridae
MGV-GENOME-0176238_13, VPC-1387, Siphoviridae
MGV-GENOME-0219732_10, VPC-9, NULL
MGV-GENOME-0286234_24, VPC-502, Myoviridae
MGV-GENOME-0185272_15, VPC-9, NULL
MGV-GENOME-0355285_32, VPC-152, NULL
MGV-GENOME-0351986_103, VPC-9, Siphoviridae
MGV-GENOME-0269945_39, VPC-4560, Siphoviridae
MGV-GENOME-0162810_13, VPC-502, NULL
MGV-GENOME-0307400_46, VPC-27, Myoviridae
MGV-GENOME-0372284_75, VPC-744, NULL
MGV-GENOME-0285558_12, VPC-27, Myoviridae
MGV-GENOME-0285702_50, VPC-484, NULL
MGV-GENOME-0257637_25, VPC-287, NULL
MGV-GENOME-0159524_26, VPC-8, NULL
MGV-GENOME-0252642_23, VPC-1589, NULL
